version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Kolkata Knight Riders
info,gender,male
info,season,2023
info,date,2023/04/01
info,event,Indian Premier League
info,match_number,2
info,venue,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
info,city,Chandigarh
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,Arshdeep Singh
info,umpire,BNJ Oxenford
info,umpire,YC Barde
info,reserve_umpire,PM Joshi
info,tv_umpire,J Madanagopal
info,match_referee,M Nayyar
info,winner,Punjab Kings
info,winner_runs,7
info,method,D/L
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,PBB Rajapaksa
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,NT Ellis
info,player,Punjab Kings,R Dhawan
info,player,Kolkata Knight Riders,Mandeep Singh
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,TG Southee
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,AD Russell,bbd41817
info,registry,people,AS Roy,e4cdf230
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JM Sharma,800d2d97
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,Mandeep Singh,c3a96caf
info,registry,people,N Rana,fb2d1dda
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Simran Singh,9418198b
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,R Dhawan,26a85969
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TG Southee,13c35c9e
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,VR Iyer,a24be938
info,registry,people,YC Barde,b90f3346
