version,2.2.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Lucknow Super Giants
info,gender,male
info,season,2023
info,date,2023/04/03
info,event,Indian Premier League
info,match_number,6
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,MM Ali
info,umpire,A Totre
info,umpire,BNJ Oxenford
info,reserve_umpire,PM Joshi
info,tv_umpire,UV Gandhe
info,match_referee,M Nayyar
info,winner,Chennai Super Kings
info,winner_runs,12
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,BA Stokes
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MJ Santner
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,RS Hangargekar
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,K Gowtham
info,player,Lucknow Super Giants,MA Wood
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,Ravi Bishnoi
info,registry,people,A Badoni,872b03f7
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Avesh Khan,eef2536f
info,registry,people,BA Stokes,e087956b
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DL Chahar,23eeb873
info,registry,people,DP Conway,df5a6881
info,registry,people,K Gowtham,90de905a
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KR Mayers,73c18486
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,N Pooran,3241e3fd
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RS Hangargekar,c3c92b42
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UV Gandhe,43dd4011
info,registry,people,Yash Thakur,4b31f3a3
