version,2.2.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Chennai Super Kings
info,gender,male
info,season,2023
info,date,2023/04/21
info,event,Indian Premier League
info,match_number,29
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,RA Jadeja
info,umpire,HAS Khalid
info,umpire,VK Sharma
info,reserve_umpire,A Bengeri
info,tv_umpire,Nitin Menon
info,match_referee,Shakti Singh
info,winner,Chennai Super Kings
info,winner_wickets,7
info,player,Sunrisers Hyderabad,Mayank Dagar
info,player,Sunrisers Hyderabad,HC Brook
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,MA Agarwal
info,player,Sunrisers Hyderabad,M Jansen
info,player,Sunrisers Hyderabad,Washington Sundar
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,M Markande
info,player,Sunrisers Hyderabad,Umran Malik
info,player,Chennai Super Kings,Akash Singh
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,player,Chennai Super Kings,M Pathirana
info,registry,people,A Bengeri,c109497d
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Akash Singh,b483905d
info,registry,people,B Kumar,2e81a32d
info,registry,people,DP Conway,df5a6881
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HC Brook,4ae1755b
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Markande,a9fd84fb
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mayank Dagar,a457cfb5
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Dube,a4e37e47
info,registry,people,Shakti Singh,eb90d319
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,Umran Malik,81c08fa3
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Washington Sundar,f19ccfad
