version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Lucknow Super Giants
info,gender,male
info,season,2023
info,date,2023/04/22
info,event,Indian Premier League
info,match_number,30
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Gujarat Titans
info,toss_decision,bat
info,player_of_match,MM Sharma
info,umpire,A Totre
info,umpire,RJ Tucker
info,reserve_umpire,PM Joshi
info,tv_umpire,J Madanagopal
info,match_referee,R Seth
info,winner,Gujarat Titans
info,winner_runs,7
info,player,Gujarat Titans,J Yadav
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,MM Sharma
info,player,Lucknow Super Giants,A Mishra
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,PN Mankad
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,registry,people,A Badoni,872b03f7
info,registry,people,A Manohar,0890552f
info,registry,people,A Mishra,6b19d823
info,registry,people,A Totre,b1d7d7bc
info,registry,people,Avesh Khan,eef2536f
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Yadav,81049310
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KR Mayers,73c18486
info,registry,people,MM Sharma,759ac88f
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,PN Mankad,663b5e34
info,registry,people,R Seth,540a44ba
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RJ Tucker,38810cfc
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,Shubman Gill,b4b99816
info,registry,people,V Shankar,0994d0ae
info,registry,people,WP Saha,fe11caa6
