version,2.2.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Punjab Kings
info,gender,male
info,season,2023
info,date,2023/04/28
info,event,Indian Premier League
info,match_number,38
info,venue,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
info,city,Chandigarh
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,MP Stoinis
info,umpire,Nitin Menon
info,umpire,Vinod Seshan
info,reserve_umpire,VM Dhokre
info,tv_umpire,HAS Khalid
info,match_referee,Shakti Singh
info,winner,Lucknow Super Giants
info,winner_runs,56
info,player,Lucknow Super Giants,A Mishra
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,Yash Thakur
info,player,Punjab Kings,Gurnoor Brar
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,A Badoni,872b03f7
info,registry,people,A Mishra,6b19d823
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,Avesh Khan,eef2536f
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DR Sams,caf69bf7
info,registry,people,Gurnoor Brar,99258814
info,registry,people,HAS Khalid,291ded7c
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KR Mayers,73c18486
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Simran Singh,9418198b
info,registry,people,RD Chahar,2ed569a0
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,VM Dhokre,67df71c9
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,Yash Thakur,4b31f3a3
