version,2.2.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2023
info,date,2023/05/04
info,event,Indian Premier League
info,match_number,47
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Kolkata Knight Riders
info,toss_decision,bat
info,player_of_match,CV Varun
info,umpire,KN Ananthapadmanabhan
info,umpire,MA Gough
info,reserve_umpire,P Joshi
info,tv_umpire,MV Saidharshan Kumar
info,match_referee,V Narayan Kutty
info,winner,Kolkata Knight Riders
info,winner_runs,5
info,player,Kolkata Knight Riders,JJ Roy
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,SN Thakur
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,CV Varun
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,MA Agarwal
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,HC Brook
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,M Jansen
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,M Markande
info,player,Sunrisers Hyderabad,Kartik Tyagi
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Markram,6a26221c
info,registry,people,AS Roy,e4cdf230
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Kumar,2e81a32d
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HC Brook,4ae1755b
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Markande,a9fd84fb
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MA Gough,76752ac8
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,N Rana,fb2d1dda
info,registry,people,P Joshi,ffc0e370
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,T Natarajan,ce794613
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
