version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/03/23
info,event,Indian Premier League
info,match_number,2
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
info,city,Mohali
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,SM Curran
info,umpire,J Madanagopal
info,umpire,NA Patwardhan
info,reserve_umpire,PM Joshi
info,tv_umpire,AG Wharf
info,match_referee,V Narayan Kutty
info,winner,Punjab Kings
info,winner_wickets,4
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,MR Marsh
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,RK Bhui
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Sumit Kumar
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,I Sharma
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,RD Chahar
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,DA Warner,dcce6f09
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,P Simran Singh,9418198b
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RK Bhui,b63e358a
info,registry,people,RR Pant,919a3be2
info,registry,people,S Dhawan,0a476045
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SM Curran,e94915e6
info,registry,people,Shashank Singh,26989d80
info,registry,people,Sumit Kumar,8998a68f
info,registry,people,T Stubbs,85b3fab2
info,registry,people,Tanay Thyagarajan,f1809c03
info,registry,people,V Narayan Kutty,4bacee3d
