version,2.2.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/03/30
info,event,Indian Premier League
info,match_number,11
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,bat
info,player_of_match,MP Yadav
info,umpire,J Madanagopal
info,umpire,Navdeep Singh
info,reserve_umpire,PM Joshi
info,tv_umpire,AG Wharf
info,match_referee,V Narayan Kutty
info,winner,Lucknow Super Giants
info,winner_runs,21
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,MP Yadav
info,player,Lucknow Super Giants,M Siddharth
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,RD Chahar
info,registry,people,A Badoni,872b03f7
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Siddharth,cf0ccafa
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MP Yadav,b1ad996b
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,P Simran Singh,9418198b
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,Q de Kock,372455c4
info,registry,people,RD Chahar,2ed569a0
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,Shashank Singh,26989d80
info,registry,people,Tanay Thyagarajan,f1809c03
info,registry,people,V Narayan Kutty,4bacee3d
