version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/04/04
info,event,Indian Premier League
info,match_number,17
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,Shashank Singh
info,umpire,Nitin Menon
info,umpire,VA Kulkarni
info,reserve_umpire,M Kuppuraj
info,tv_umpire,VK Sharma
info,match_referee,J Srinath
info,winner,Punjab Kings
info,winner_wickets,3
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,KS Williamson
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Azmatullah Omarzai
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,DG Nalkande
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KS Williamson,d027ba9f
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,MM Sharma,759ac88f
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Simran Singh,9418198b
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dhawan,0a476045
info,registry,people,SM Curran,e94915e6
info,registry,people,Shashank Singh,26989d80
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Shankar,0994d0ae
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WP Saha,fe11caa6
