version,2.2.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Chennai Super Kings
info,gender,male
info,season,2024
info,date,2024/04/08
info,event,Indian Premier League
info,match_number,22
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,RA Jadeja
info,umpire,AK Chaudhary
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,M Krishnadas
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Chennai Super Kings
info,winner_wickets,7
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,CV Varun
info,player,Chennai Super Kings,Mustafizur Rahman
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,Sameer Rizvi
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,SN Thakur
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AM Rahane,29e95537
info,registry,people,AS Roy,e4cdf230
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DJ Mitchell,eade4650
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Starc,3fb19989
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
