version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Rajasthan Royals
info,gender,male
info,season,2024
info,date,2024/04/13
info,event,Indian Premier League
info,match_number,27
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
info,city,Mohali
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,SO Hetmyer
info,umpire,AK Chaudhary
info,umpire,Tapan Sharma
info,reserve_umpire,PM Joshi
info,tv_umpire,J Madanagopal
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_wickets,3
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,Arshdeep Singh
info,player,Rajasthan Royals,KR Sen
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,Tanush Kotian
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,R Powell
info,player,Rajasthan Royals,KA Maharaj
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,YS Chahal
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,Avesh Khan,eef2536f
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KR Sen,2e78f685
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,P Simran Singh,9418198b
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,SM Curran,e94915e6
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shashank Singh,26989d80
info,registry,people,TA Boult,a818c1be
info,registry,people,Tanush Kotian,5724e517
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
