match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,0,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,0,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,2,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,4,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,0.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,WG Jacks,0,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,RJW Topley,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,RJW Topley,4,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,RJW Topley,6,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,RJW Topley,2,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,RJW Topley,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,1.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,RJW Topley,6,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,WG Jacks,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,0,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.4,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,WG Jacks,0,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.5,Sunrisers Hyderabad,Royal Challengers Bengaluru,TM Head,Abhishek Sharma,WG Jacks,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,2.6,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,WG Jacks,1,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.1,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,Yash Dayal,0,1,1,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.2,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,Yash Dayal,4,0,,,,,,,,,
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",1,3.3,Sunrisers Hyderabad,Royal Challengers Bengaluru,Abhishek Sharma,TM Head,Yash Dayal,0,0,,,,,,,,,
