version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Gujarat Titans
info,gender,male
info,season,2024
info,date,2024/04/24
info,event,Indian Premier League
info,match_number,40
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,RR Pant
info,umpire,KN Ananthapadmanabhan
info,umpire,UV Gandhe
info,reserve_umpire,A Bengeri
info,tv_umpire,A Totre
info,match_referee,Amit Sharma
info,winner,Delhi Capitals
info,winner_runs,4
info,player,Delhi Capitals,Rasikh Salam
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,A Nortje
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,Mukesh Kumar
info,player,Gujarat Titans,S Sandeep Warrier
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Azmatullah Omarzai
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Noor Ahmad
info,registry,people,A Bengeri,c109497d
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RR Pant,919a3be2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,SD Hope,1fc6ef83
info,registry,people,Shubman Gill,b4b99816
info,registry,people,T Stubbs,85b3fab2
info,registry,people,UV Gandhe,43dd4011
info,registry,people,WP Saha,fe11caa6
