version,2.2.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/04/26
info,event,Indian Premier League
info,match_number,42
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,JM Bairstow
info,umpire,AK Chaudhary
info,umpire,YC Barde
info,reserve_umpire,R Rajesh Kannan
info,tv_umpire,R Pandit
info,match_referee,Sanjay Verma
info,winner,Punjab Kings
info,winner_wickets,8
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,PVD Chameera
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,JM Bairstow
info,player,Punjab Kings,RR Rossouw
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,RD Chahar
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Roy,e4cdf230
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,P Simran Singh,9418198b
info,registry,people,PD Salt,3d284ca3
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Pandit,8a604384
info,registry,people,R Rajesh Kannan,c9062c3e
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SM Curran,e94915e6
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Shashank Singh,26989d80
info,registry,people,VR Iyer,a24be938
info,registry,people,YC Barde,b90f3346
