version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Kolkata Knight Riders
info,gender,male
info,season,2024
info,date,2024/04/29
info,event,Indian Premier League
info,match_number,47
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Delhi Capitals
info,toss_decision,bat
info,player_of_match,CV Varun
info,umpire,Navdeep Singh
info,umpire,Tapan Sharma
info,reserve_umpire,K Swaroopanand
info,tv_umpire,NA Patwardhan
info,match_referee,V Narayan Kutty
info,winner,Kolkata Knight Riders
info,winner_wickets,7
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Kumar Kushagra
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Rasikh Salam
info,player,Delhi Capitals,LB Williams
info,player,Delhi Capitals,KK Ahmed
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,A Raghuvanshi
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AD Russell,bbd41817
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Kumar Kushagra,57ca01b3
info,registry,people,LB Williams,a1d95bd8
info,registry,people,MA Starc,3fb19989
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,PD Salt,3d284ca3
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Pant,919a3be2
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,T Stubbs,85b3fab2
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
