version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Chennai Super Kings
info,gender,male
info,season,2024
info,date,2024/05/10
info,event,Indian Premier League
info,match_number,59
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,Shubman Gill
info,umpire,KN Ananthapadmanabhan
info,umpire,NA Patwardhan
info,reserve_umpire,K Swaroopanand
info,tv_umpire,J Madanagopal
info,match_referee,P Dharmani
info,winner,Gujarat Titans
info,winner_runs,35
info,player,Gujarat Titans,S Sandeep Warrier
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,MS Wade
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,UT Yadav
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Kartik Tyagi
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MJ Santner
info,player,Chennai Super Kings,SN Thakur
info,player,Chennai Super Kings,Simarjeet Singh
info,registry,people,AM Rahane,29e95537
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Mitchell,eade4650
info,registry,people,J Madanagopal,8275b04a
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,MS Wade,afa7e784
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,R Ravindra,ba5e1069
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,SN Thakur,1abb78f8
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Simarjeet Singh,30df8c66
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UT Yadav,cc1e8c68
