version,2.2.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Lucknow Super Giants
info,gender,male
info,season,2024
info,date,2024/05/14
info,event,Indian Premier League
info,match_number,64
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,I Sharma
info,umpire,A Totre
info,umpire,Vinod Seshan
info,reserve_umpire,A Bengeri
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,DS Manohar
info,winner,Delhi Capitals
info,winner_runs,19
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Gulbadin Naib
info,player,Delhi Capitals,Rasikh Salam
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,KK Ahmed
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Arshad Khan
info,player,Lucknow Super Giants,Yudhvir Singh
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,registry,people,A Badoni,872b03f7
info,registry,people,A Bengeri,c109497d
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Arshad Khan,12314277
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Q de Kock,372455c4
info,registry,people,RR Pant,919a3be2
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SD Hope,1fc6ef83
info,registry,people,T Stubbs,85b3fab2
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,Yudhvir Singh,4885bbe6
