version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2024
info,date,2024/05/19
info,event,Indian Premier League
info,match_number,69
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Punjab Kings
info,toss_decision,bat
info,player_of_match,Abhishek Sharma
info,umpire,Nitin Menon
info,umpire,VK Sharma
info,reserve_umpire,Bhavesh Patel
info,tv_umpire,HAS Khalid
info,match_referee,Prakash Bhatt
info,winner,Sunrisers Hyderabad
info,winner_wickets,4
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,RR Rossouw
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Shivam Singh
info,player,Punjab Kings,R Dhawan
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,RD Chahar
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,Sanvir Singh
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,V Viyaskanth
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,B Kumar,2e81a32d
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JM Sharma,800d2d97
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Simran Singh,9418198b
info,registry,people,PJ Cummins,ded9240e
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Dhawan,26a85969
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Sanvir Singh,b0f2baf4
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Shashank Singh,26989d80
info,registry,people,Shivam Singh,e1d9ae9c
info,registry,people,T Natarajan,ce794613
info,registry,people,TM Head,12b610c2
info,registry,people,V Viyaskanth,03a83c50
info,registry,people,VK Sharma,a7a49df4
