version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Gujarat Titans
info,gender,male
info,season,2025
info,date,2025/03/25
info,event,Indian Premier League
info,match_number,5
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,SS Iyer
info,umpire,A Bengeri
info,umpire,Vinod Seshan
info,reserve_umpire,TM Srivastava
info,tv_umpire,J Madanagopal
info,match_referee,Prakash Bhatt
info,winner,Punjab Kings
info,winner_runs,11
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,Azmatullah Omarzai
info,player,Punjab Kings,GJ Maxwell
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,YS Chahal
info,player,Punjab Kings,Vijaykumar Vyshak
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,registry,people,A Bengeri,c109497d
info,registry,people,Arshad Khan,12314277
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JC Buttler,99b75528
info,registry,people,K Rabada,e62dd25d
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,P Simran Singh,9418198b
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Priyansh Arya,b5797845
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shashank Singh,26989d80
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,YS Chahal,57ee1fde
