version,2.2.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Kolkata Knight Riders
info,gender,male
info,season,2025
info,date,2025/04/11
info,event,Indian Premier League
info,match_number,25
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,SP Narine
info,umpire,CB Gaffaney
info,umpire,P Joshi
info,reserve_umpire,TM Srivastava
info,tv_umpire,Vinod Seshan
info,match_referee,Prakash Bhatt
info,winner,Kolkata Knight Riders
info,winner_wickets,8
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,RA Tripathi
info,player,Chennai Super Kings,V Shankar
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,R Ashwin
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,DJ Hooda
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,KK Ahmed
info,player,Kolkata Knight Riders,Q de Kock
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,MM Ali
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,A Kamboj,fcc21ace
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rahane,29e95537
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DP Conway,df5a6881
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,KK Ahmed,a2f46292
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Joshi,ffc0e370
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Q de Kock,372455c4
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,S Dube,a4e37e47
info,registry,people,SP Narine,9d430b40
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,V Shankar,0994d0ae
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
info,registry,people,Vinod Seshan,a3357a27
