version,2.2.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Delhi Capitals
info,gender,male
info,season,2026
info,date,2026/04/18
info,event,Indian Premier League
info,match_number,26
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,T Stubbs
info,umpire,Abhijit Bhattacharya
info,umpire,Bhavesh Patel
info,reserve_umpire,A Totre
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,Prakash Bhatt
info,winner,Delhi Capitals
info,winner_wickets,6
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,Rasikh Salam
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,P Nissanka
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,KK Nair
info,player,Delhi Capitals,Sameer Rizvi
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,DA Miller
info,player,Delhi Capitals,Auqib Nabi
info,player,Delhi Capitals,L Ngidi
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,T Natarajan
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AR Patel,2e171977
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Auqib Nabi,7c3c0337
info,registry,people,B Kumar,2e81a32d
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DA Miller,d67d5f00
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KK Nair,944533a5
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,L Ngidi,f834dcfc
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PD Salt,3d284ca3
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Shepherd,c5aef772
info,registry,people,RM Patidar,c740ea83
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,T Natarajan,ce794613
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
