version,2.2.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Chennai Super Kings
info,gender,male
info,season,2026
info,date,2026/04/18
info,event,Indian Premier League
info,match_number,27
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,E Malinga
info,umpire,Anish Sahasrabudhe
info,umpire,Vinod Seshan
info,reserve_umpire,MV Saidharshan Kumar
info,tv_umpire,AT Holdstock
info,match_referee,Shakti Singh
info,winner,Sunrisers Hyderabad
info,winner_runs,10
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,S Arora
info,player,Sunrisers Hyderabad,LS Livingstone
info,player,Sunrisers Hyderabad,Shivang Kumar
info,player,Sunrisers Hyderabad,PP Hinge
info,player,Sunrisers Hyderabad,Sakib Hussain
info,player,Sunrisers Hyderabad,E Malinga
info,player,Chennai Super Kings,Gurjapneet Singh
info,player,Chennai Super Kings,SV Samson
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,MW Short
info,player,Chennai Super Kings,SN Khan
info,player,Chennai Super Kings,D Brevis
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,J Overton
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,Mukesh Choudhary
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Mhatre,b2b4f545
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,D Brevis,844e79d1
info,registry,people,E Malinga,5750bcb4
info,registry,people,Gurjapneet Singh,cc61ee8f
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Overton,59559bc2
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,MW Short,a90e53ec
info,registry,people,Mukesh Choudhary,765a4731
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PP Hinge,ece7b6b3
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Arora,d7423da1
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Khan,f088b960
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sakib Hussain,280fff14
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Shivang Kumar,7b44eb3e
info,registry,people,TM Head,12b610c2
info,registry,people,Vinod Seshan,a3357a27
