version,2.2.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Delhi Capitals
info,gender,male
info,season,2026
info,date,2026/05/01
info,event,Indian Premier League
info,match_number,43
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,KL Rahul
info,umpire,SJ Nogajski
info,umpire,VK Sharma
info,reserve_umpire,AK Argal
info,tv_umpire,HAS Khalid
info,match_referee,R Seth
info,winner,Delhi Capitals
info,winner_wickets,7
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,N Burger
info,player,Rajasthan Royals,Brijesh Sharma
info,player,Delhi Capitals,P Nissanka
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,N Rana
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,Sameer Rizvi
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,KA Jamieson
info,player,Delhi Capitals,MA Starc
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,T Natarajan
info,registry,people,AK Argal,0ee78cf3
info,registry,people,AR Patel,2e171977
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Brijesh Sharma,133bbd61
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HAS Khalid,291ded7c
info,registry,people,JC Archer,5574750c
info,registry,people,KA Jamieson,68c56d09
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,MA Starc,3fb19989
info,registry,people,N Burger,465aa633
info,registry,people,N Rana,fb2d1dda
info,registry,people,P Nissanka,8ee36b18
info,registry,people,R Parag,04a418e8
info,registry,people,R Seth,540a44ba
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Sameer Rizvi,f89d3b11
info,registry,people,T Natarajan,ce794613
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
