version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Gujarat Titans
info,gender,male
info,season,2026
info,date,2026/05/03
info,event,Indian Premier League
info,match_number,46
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,JO Holder
info,umpire,KN Ananthapadmanabhan
info,umpire,P Joshi
info,reserve_umpire,Bhavesh Patel
info,tv_umpire,Abhijit Bhattacharya
info,match_referee,P Dharmani
info,winner,Gujarat Titans
info,winner_wickets,4
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,C Connolly
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,N Wadhera
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,XC Bartlett
info,player,Punjab Kings,Vijaykumar Vyshak
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,YS Chahal
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,N Sindhu
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,JO Holder
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,MJ Suthar
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Arshad Khan,12314277
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,C Connolly,fe366f34
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,K Rabada,e62dd25d
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Jansen,81c36ee9
info,registry,people,MJ Suthar,025c4400
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Sindhu,3cea23da
info,registry,people,N Wadhera,d1a60072
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,P Joshi,ffc0e370
info,registry,people,P Simran Singh,9418198b
info,registry,people,Priyansh Arya,b5797845
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,XC Bartlett,3b53243a
info,registry,people,YS Chahal,57ee1fde
