version,2.2.0
info,balls_per_over,6
info,team,Punjab Kings
info,team,Delhi Capitals
info,gender,male
info,season,2026
info,date,2026/05/11
info,event,Indian Premier League
info,match_number,55
info,venue,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
info,city,Dharamsala
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,M Tiwari
info,umpire,Bhavesh Patel
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,P Joshi
info,tv_umpire,AT Holdstock
info,match_referee,P Dharmani
info,winner,Delhi Capitals
info,winner_wickets,3
info,player,Punjab Kings,Yash Thakur
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,C Connolly
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,BJ Dwarshuis
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,YS Chahal
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,KL Rahul
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,SU Parakh
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,DA Miller
info,player,Delhi Capitals,Ashutosh Sharma
info,player,Delhi Capitals,M Tiwari
info,player,Delhi Capitals,Auqib Nabi
info,player,Delhi Capitals,MA Starc
info,player,Delhi Capitals,L Ngidi
info,registry,people,AR Patel,2e171977
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,Auqib Nabi,7c3c0337
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,C Connolly,fe366f34
info,registry,people,DA Miller,d67d5f00
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,L Ngidi,f834dcfc
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Tiwari,fb5f69e4
info,registry,people,MA Starc,3fb19989
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,P Dubey,ed5a5510
info,registry,people,P Joshi,ffc0e370
info,registry,people,P Simran Singh,9418198b
info,registry,people,Priyansh Arya,b5797845
info,registry,people,SS Iyer,85ec8e33
info,registry,people,SU Parakh,926c7443
info,registry,people,Shashank Singh,26989d80
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,T Stubbs,85b3fab2
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Thakur,4b31f3a3
