version,2.2.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Chennai Super Kings
info,gender,male
info,season,2026
info,date,2026/05/21
info,event,Indian Premier League
info,match_number,66
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,Mohammed Siraj
info,umpire,KM Gandhi
info,umpire,Nitin Menon
info,reserve_umpire,TM Srivastava
info,tv_umpire,VK Sharma
info,match_referee,A Kripal Singh
info,winner,Gujarat Titans
info,winner_runs,89
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,N Sindhu
info,player,Gujarat Titans,JO Holder
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,Mohammed Siraj
info,player,Chennai Super Kings,Gurjapneet Singh
info,player,Chennai Super Kings,SV Samson
info,player,Chennai Super Kings,MW Short
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,Urvil Patel
info,player,Chennai Super Kings,Kartik Sharma
info,player,Chennai Super Kings,D Brevis
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,Mukesh Choudhary
info,player,Chennai Super Kings,SH Johnson
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Kripal Singh,8f559207
info,registry,people,Arshad Khan,12314277
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,D Brevis,844e79d1
info,registry,people,Gurjapneet Singh,cc61ee8f
info,registry,people,JC Buttler,99b75528
info,registry,people,JO Holder,0f721006
info,registry,people,K Rabada,e62dd25d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,Kartik Sharma,7b679de5
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,MW Short,a90e53ec
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mukesh Choudhary,765a4731
info,registry,people,N Sindhu,3cea23da
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Urvil Patel,cf59b3f0
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Washington Sundar,f19ccfad
