version,2.2.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Punjab Kings
info,gender,male
info,season,2026
info,date,2026/05/23
info,event,Indian Premier League
info,match_number,68
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,SS Iyer
info,umpire,KM Gandhi
info,umpire,Vinod Seshan
info,reserve_umpire,TM Srivastava
info,tv_umpire,AK Argal
info,match_referee,A Kripal Singh
info,winner,Punjab Kings
info,winner_wickets,7
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,JP Inglis
info,player,Lucknow Super Giants,AA Kulkarni
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,MD Choudhary
info,player,Lucknow Super Giants,Arjun Tendulkar
info,player,Lucknow Super Giants,Mohammed Shami
info,player,Lucknow Super Giants,Prince Yadav
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Punjab Kings,YS Chahal
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,C Connolly
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Azmatullah Omarzai
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,Vijaykumar Vyshak
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,MP Stoinis
info,registry,people,A Badoni,872b03f7
info,registry,people,A Kripal Singh,8f559207
info,registry,people,AA Kulkarni,2d140b79
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Arjun Tendulkar,44aac2f0
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,C Connolly,fe366f34
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,JP Inglis,989889ff
info,registry,people,KM Gandhi,a9421c64
info,registry,people,M Jansen,81c36ee9
info,registry,people,MD Choudhary,1c84109e
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,P Dubey,ed5a5510
info,registry,people,P Simran Singh,9418198b
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,Priyansh Arya,b5797845
info,registry,people,RR Pant,919a3be2
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shashank Singh,26989d80
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,YS Chahal,57ee1fde
