"id","season","city","match_type","team1","team2","toss_winner","toss_decision","venue","team1_win_pct","team2_win_pct","venue_avg_score","winner"
335982,"2008","Bangalore","League","Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,52.19,173,"Kolkata Knight Riders"
335983,"2008","Chandigarh","League","Punjab Kings","Chennai Super Kings","Chennai Super Kings","bat","Punjab Cricket Association IS Bindra Stadium",45.53,58.23,168,"Chennai Super Kings"
335984,"2008","Delhi","League","Delhi Capitals","Rajasthan Royals","Rajasthan Royals","bat","Feroz Shah Kotla",46.00,51.14,162,"Delhi Capitals"
335985,"2008","Mumbai","League","Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","bat","Wankhede Stadium",55.17,48.81,170,"Royal Challengers Bengaluru"
335986,"2008","Kolkata","League","Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","bat","Eden Gardens",52.19,38.67,166,"Kolkata Knight Riders"
335987,"2008","Jaipur","League","Rajasthan Royals","Punjab Kings","Punjab Kings","bat","Sawai Mansingh Stadium",51.14,45.53,162,"Rajasthan Royals"
335988,"2008","Hyderabad","League","Deccan Chargers","Delhi Capitals","Deccan Chargers","bat","Rajiv Gandhi International Stadium",38.67,46.00,163,"Delhi Capitals"
335989,"2008","Chennai","League","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","MA Chidambaram Stadium",58.23,55.17,164,"Chennai Super Kings"
335990,"2008","Hyderabad","League","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","Rajiv Gandhi International Stadium",38.67,51.14,163,"Rajasthan Royals"
335991,"2008","Chandigarh","League","Punjab Kings","Mumbai Indians","Mumbai Indians","field","Punjab Cricket Association IS Bindra Stadium",45.53,55.17,168,"Punjab Kings"
335992,"2008","Bangalore","League","Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","field","M Chinnaswamy Stadium",48.81,51.14,173,"Rajasthan Royals"
335993,"2008","Chennai","League","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","bat","MA Chidambaram Stadium",58.23,52.19,164,"Chennai Super Kings"
335994,"2008","Mumbai","League","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","Dr DY Patil Sports Academy",55.17,38.67,160,"Deccan Chargers"
335995,"2008","Chandigarh","League","Punjab Kings","Delhi Capitals","Delhi Capitals","bat","Punjab Cricket Association IS Bindra Stadium",45.53,46.00,168,"Punjab Kings"
335996,"2008","Bangalore","League","Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","bat","M Chinnaswamy Stadium",48.81,58.23,173,"Chennai Super Kings"
335997,"2008","Kolkata","League","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","Eden Gardens",52.19,55.17,166,"Mumbai Indians"
335998,"2008","Delhi","League","Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Feroz Shah Kotla",46.00,48.81,162,"Delhi Capitals"
335999,"2008","Hyderabad","League","Deccan Chargers","Punjab Kings","Punjab Kings","field","Rajiv Gandhi International Stadium",38.67,45.53,163,"Punjab Kings"
336000,"2008","Jaipur","League","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","Sawai Mansingh Stadium",51.14,52.19,162,"Rajasthan Royals"
336001,"2008","Chennai","League","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,46.00,164,"Delhi Capitals"
336002,"2008","Hyderabad","League","Deccan Chargers","Royal Challengers Bengaluru","Deccan Chargers","bat","Rajiv Gandhi International Stadium",38.67,48.81,163,"Royal Challengers Bengaluru"
336003,"2008","Chandigarh","League","Punjab Kings","Kolkata Knight Riders","Punjab Kings","bat","Punjab Cricket Association IS Bindra Stadium",45.53,52.19,168,"Punjab Kings"
336004,"2008","Mumbai","League","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","Dr DY Patil Sports Academy",55.17,46.00,160,"Mumbai Indians"
336005,"2008","Jaipur","League","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","bat","Sawai Mansingh Stadium",51.14,58.23,162,"Rajasthan Royals"
336006,"2008","Bangalore","League","Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","field","M Chinnaswamy Stadium",48.81,45.53,173,"Punjab Kings"
336007,"2008","Chennai","League","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","MA Chidambaram Stadium",58.23,38.67,164,"Deccan Chargers"
336008,"2008","Mumbai","League","Mumbai Indians","Rajasthan Royals","Mumbai Indians","field","Dr DY Patil Sports Academy",55.17,51.14,160,"Mumbai Indians"
336009,"2008","Delhi","League","Delhi Capitals","Chennai Super Kings","Chennai Super Kings","field","Feroz Shah Kotla",46.00,58.23,162,"Chennai Super Kings"
336010,"2008","Kolkata","League","Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","bat","Eden Gardens",52.19,48.81,166,"Kolkata Knight Riders"
